,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5
12,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5
13,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
15,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
17,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0
19,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
